KO	base_KO	symbol	name	module	pathways	n_isolates	Pauljensenia__(9)	Actinomyces__(15)	Staphy.+Nialla__(10)	Cupriayidus__(8)	Cutibacterium__(14)	Fusobacterium+Leptotrichia__(13)	Gemella__(5)	Granulicatella__(12)	Haemophilus__(11)	Micrococcus__(7)	Prevotella__(6)	Rothia__(4)	Strep.II__(2)	Strep.I__(1)	Veillonella__(3)
K18336	K00090	lra6	2,4-didehydro-3-deoxy-L-rhamnonate hydrolase [EC:3.7.1.26]	""	map00051 Fructose and mannose metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18360	K00090	padA	phenylacetyl-CoA:acceptor oxidoreductase accessory protein	""	map00360 Phenylalanine metabolism,map01100 Metabolic pathways	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18425	K00090	dhaa	3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18480	K00090	linN	cholesterol transport system auxiliary component	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18567	K00090	pbuE	MFS transporter, DHA1 family, purine base/nucleoside efflux pump	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18661	K00090	matB	malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]	""	map00280 Valine, leucine and isoleucine degradation,map01100 Metabolic pathways	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18700	K00090	flK	fluoroacetyl-CoA thioesterase [EC:3.1.2.29]	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18778	K00090	zapD	cell division protein ZapD	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18793	K00090	blaOXA-23	beta-lactamase class D OXA-23 [EC:3.5.2.6]	Carbapenem resistance	map01501 beta-Lactam resistance	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18794	K00090	blaOXA-51	beta-lactamase class D OXA-51 [EC:3.5.2.6]	Carbapenem resistance	map01501 beta-Lactam resistance	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18800	K00090	ubiI	2-polyprenylphenol 6-hydroxylase [EC:1.14.13.240]	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	map00130 Ubiquinone and other terpenoid-quinone biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18841	K00090	chpB, chpBK	mRNA interferase ChpB [EC:3.1.-.-]	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18844	K00090	aph, spcN	spectinomycin phosphotransferase	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18900	K00090	bpeT	LysR family transcriptional regulator, regulator for bpeEF and oprC	Multidrug resistance, efflux pump BpeEF-OprC	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18901	K00090	bpeE	membrane fusion protein, multidrug efflux system	Multidrug resistance, efflux pump BpeEF-OprC	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18902	K00090	bpeF	multidrug efflux pump	Multidrug resistance, efflux pump BpeEF-OprC	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18903	K00090	oprC, opcM	outer membrane protein, multidrug efflux system	Multidrug resistance, efflux pump BpeEF-OprC	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18912	K00090	egtB	gamma-glutamyl hercynylcysteine S-oxide synthase [EC:1.14.99.50]	""	map00340 Histidine metabolism,map01100 Metabolic pathways	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K18973	K00090	blaOXA-50	beta-lactamase class D OXA-50 [EC:3.5.2.6]	""	map01501 beta-Lactam resistance	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K19057	K00090	merD	MerR family transcriptional regulator, mercuric resistance operon regulatory protein	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K19058	K00090	merC	mercuric ion transport protein	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K19191	K00090	mabO	4-methylaminobutanoate oxidase (formaldehyde-forming) [EC:1.5.3.19]	""	map00760 Nicotinate and nicotinamide metabolism,map01120 Microbial metabolism in diverse environments	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K19210	K00090	blaOXA-61	beta-lactamase class D OXA-61 [EC:3.5.2.6]	""	map01501 beta-Lactam resistance	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K19211	K00090	blaOXA-62	beta-lactamase class D OXA-62 [EC:3.5.2.6]	Carbapenem resistance	map01501 beta-Lactam resistance	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K19212	K00090	blaOXA-63	beta-lactamase class D OXA-63 [EC:3.5.2.6]	""	map01501 beta-Lactam resistance	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K19273	K00090	sat4	streptothricin acetyltransferase [EC:2.3.-.-]	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K19279	K00090	ant9	aminoglycoside 9-adenylyltransferase [EC:2.7.7.-]	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K19318	K00090	blaOXA-213	beta-lactamase class D OXA-213 [EC:3.5.2.6]	Carbapenem resistance	map01501 beta-Lactam resistance	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K19321	K00090	blaOXA-214	beta-lactamase class D OXA-214 [EC:3.5.2.6]	Carbapenem resistance	map01501 beta-Lactam resistance	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K19621	K00090	phcS	two-component system, sensor histidine kinase PhcS [EC:2.7.13.3]	""	map02020 Two-component system	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K19623	K00090	phcQ	two-component system, probable response regulator PhcQ	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K19624	K00090	phcA	LysR family transcriptional regulator, virulence genes transcriptional regulator	""	map02020 Two-component system	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K19713	K00090	tsdA	thiosulfate dehydrogenase [EC:1.8.2.2]	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K19795	K00090	E3.5.1.95	ureidomalonase [EC:3.5.1.95]	""	map00240 Pyrimidine metabolism,map01100 Metabolic pathways	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K20023	K00090	talrD-galrD	L-talarate/galactarate dehydratase [EC:4.2.1.156 4.2.1.42]	""	map00053 Ascorbate and aldarate metabolism,map01100 Metabolic pathways	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K20172	K00090	spmC	3-succinoylpyridine monooxygenase subunit C	Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde	map00760 Nicotinate and nicotinamide metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K20207	K00090	gpx	hydroperoxy fatty acid reductase [EC:1.11.1.22]	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K20256	K00090	luxG	flavin reductase [EC:1.-.-.-]	""	map02024 Quorum sensing	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K20319	K00090	blaADC	beta-lactamase class C ADC [EC:3.5.2.6]	""	map01501 beta-Lactam resistance	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K20453	K00090	dmdB	dimethylmaleate hydratase small subunit [EC:4.2.1.85]	""	map00760 Nicotinate and nicotinamide metabolism,map01120 Microbial metabolism in diverse environments	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K20542	K00090	bcsZ	endoglucanase [EC:3.2.1.4]	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K20552	K00090	ler	transcriptional regulator of LEE operons	""	map02020 Two-component system,map02024 Quorum sensing	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K20940	K00090	phzS	5-methylphenazine-1-carboxylate 1-monooxygenase [EC:1.14.13.218]	Pyocyanine biosynthesis, chorismate => pyocyanine	map00405 Phenazine biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K20963	K00090	acgA	c-di-GMP phosphodiesterase [EC:3.1.4.52]	""	map05111 Biofilm formation - Vibrio cholerae	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K20975	K00090	K20975	two-component system, sensor histidine kinase [EC:2.7.13.3]	""	map02020 Two-component system,map02025 Biofilm formation - Pseudomonas aeruginosa	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K21009	K00090	pelD	polysaccharide biosynthesis protein PelD	""	map02025 Biofilm formation - Pseudomonas aeruginosa	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K21033	K00090	virH1, CYP103	cytochrome P450 family 103	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K21084	K00090	yegE	diguanylate cyclase [EC:2.7.7.65]	""	map02026 Biofilm formation - Escherichia coli	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K21087	K00090	ycgR	flagellar brake protein	""	map02026 Biofilm formation - Escherichia coli	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K21140	K00090	mec	[CysO sulfur-carrier protein]-S-L-cysteine hydrolase [EC:3.13.1.6]	""	map04122 Sulfur relay system	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K21181	K00090	sgcC4, mdpC4	MIO-dependent L-tyrosine 2,3-aminomutase [EC:5.4.3.6]	C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP	map01059 Biosynthesis of enediyne antibiotics,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K21277	K00090	blaOXA-60	beta-lactamase class D OXA-60 [EC:3.5.2.6]	Carbapenem resistance	map01501 beta-Lactam resistance	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K21324	K00090	mdpK	tert-butyl alcohol monooxygenase/tert-amyl alcohol desaturase reductase	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K21332	K00090	calS9, atmS9	dTDP-alpha-D-glucuronic acid decarboxylase [EC:1.1.1.-]	""	map00523 Polyketide sugar unit biosynthesis,map01110 Biosynthesis of secondary metabolites	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K21558	K00090	cprK	CRP/FNR family transcriptional regulator, reductive dehalogenation system regulator	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K21607	K00090	pcpD	tetrachlorobenzoquinone reductase [EC:1.1.1.404]	""	map00361 Chlorocyclohexane and chlorobenzene degradation,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K21645	K00090	hypT, qseD	LysR family transcriptional regulator, hypochlorite-specific transcription factor HypT	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K21700	K00090	bauB	beta-alanine degradation protein BauB	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K21703	K00090	cbbR, cmpR, ndhR	LysR family transcriptional regulator, low CO2-responsive transcriptional regulator	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K22003	K00090	ais	aconitate Delta-isomerase [EC:5.3.3.7]	""	map00660 C5-Branched dibasic acid metabolism,map01100 Metabolic pathways	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K22067	K00090	nasS	two-component system, oxyanion-binding sensor	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K22186	K00090	xylD	xylonate dehydratase [EC:4.2.1.82]	""	map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K22187	K00090	xylA	alpha-ketoglutaric semialdehyde dehydrogenase [EC:1.2.1.-]	""	map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K22209	K00090	tarD	D(-)-tartrate dehydratase [EC:4.2.1.81]	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K22229	K00090	K22229	2-ketogluconate reductase [EC:1.1.1.215]	""	map00030 Pentose phosphate pathway,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K22293	K00090	rspR	GntR family transcriptional regulator, rspAB operon transcriptional repressor	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K22294	K00090	nicS	TetR/AcrR family transcriptional regulator, upper aerobic nicotinate degradation pathway regulator	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K22333	K00090	blaOXA-493	beta-lactamase class D OXA-493 [EC:3.5.2.6]	""	map01501 beta-Lactam resistance	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K22351	K00090	blaOXA-209	beta-lactamase class D OXA-209 [EC:3.5.2.6]	""	map01501 beta-Lactam resistance	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K22369	K00090	EPHX4	epoxide hydrolase 4 [EC:3.3.-.-]	""	map05207 Chemical carcinogenesis - receptor activation,map05208 Chemical carcinogenesis - reactive oxygen species	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K22507	K00090	spaP	type III secretion system export apparatus protein	""	""	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K00091	K00091	E1.1.1.219	dihydroflavonol-4-reductase [EC:1.1.1.219]	""	""	11	-0.135	1.784	0.79	0.259	0.295	1.404	-0.312	0.145	-0.059	-0.201	-0.26	-0.312	-0.667	0.291	-0.36
K00096	K00096	araM, egsA	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	""	map00564 Glycerophospholipid metabolism,map01110 Biosynthesis of secondary metabolites	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K00171	K00096	porD	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	Reductive citrate cycle (Arnon-Buchanan cycle)	map00010 Glycolysis / Gluconeogenesis,map00020 Citrate cycle (TCA cycle),map00620 Pyruvate metabolism,map00633 Nitrotoluene degradation,map00640 Propanoate metabolism,map00650 Butanoate metabolism,map00680 Methane metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K01083	K00096	E3.1.3.8	3-phytase [EC:3.1.3.8]	""	map00562 Inositol phosphate metabolism,map01100 Metabolic pathways	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K01192	K00096	E3.2.1.25, MANBA, manB	beta-mannosidase [EC:3.2.1.25]	""	map00511 Other glycan degradation,map04142 Lysosome	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K01473	K00096	hyuA	N-methylhydantoinase A [EC:3.5.2.14]	""	map00330 Arginine and proline metabolism,map01100 Metabolic pathways	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K01577	K00096	oxc	oxalyl-CoA decarboxylase [EC:4.1.1.8]	""	map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K02101	K00096	araL	sugar-phosphatase [EC:3.1.3.23]	""	""	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K02228	K00096	cobF	precorrin-6A synthase [EC:2.1.1.152]	Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	map00860 Porphyrin metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K02848	K00096	waaP, rfaP	lipopolysaccharide core heptose(I) kinase [EC:2.7.1.235]	""	map00540 Lipopolysaccharide biosynthesis,map01100 Metabolic pathways	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K03388	K00096	hdrA2	heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]	Methanogenesis, methanol => methane	map00680 Methane metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K03403	K00096	chlH, bchH	magnesium chelatase subunit H [EC:6.6.1.1]	""	map00860 Porphyrin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K03432	K00096	psmA, prcA	proteasome alpha subunit [EC:3.4.25.1]	""	map03050 Proteasome	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K03433	K00096	psmB, prcB	proteasome beta subunit [EC:3.4.25.1]	""	map03050 Proteasome	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K05580	K00096	ndhI	NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2]	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	map00190 Oxidative phosphorylation,map01100 Metabolic pathways	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K05991	K00096	E3.2.1.123	endoglycosylceramidase [EC:3.2.1.123]	""	""	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K07169	K00096	K07169	FHA domain-containing protein	""	""	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K07307	K00096	dmsB	anaerobic dimethyl sulfoxide reductase subunit B	""	map00920 Sulfur metabolism,map01100 Metabolic pathways	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K07308	K00096	dmsC	anaerobic dimethyl sulfoxide reductase subunit C	""	map00920 Sulfur metabolism,map01100 Metabolic pathways	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K07309	K00096	ynfE	Tat-targeted selenate reductase subunit YnfE [EC:1.97.1.9]	""	map00450 Selenocompound metabolism	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K07310	K00096	ynfF	Tat-targeted selenate reductase subunit YnfF [EC:1.97.1.9]	""	map00450 Selenocompound metabolism	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K07311	K00096	ynfG	Tat-targeted selenate reductase subunit YnfG	""	""	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K07312	K00096	ynfH	Tat-targeted selenate reductase subunit YnfH	""	""	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K08137	K00096	galP	MFS transporter, SP family, galactose:H+ symporter	""	""	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K08368	K00096	yaaU	MFS transporter, putative metabolite transport protein	""	""	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K10797	K00096	enr	2-enoate reductase [EC:1.3.1.31]	""	map00360 Phenylalanine metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K11045	K00096	cfa	cAMP factor	""	""	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K14335	K00096	pimC	alpha-1,6-mannosyltransferase [EC:2.4.1.-]	""	map00571 Lipoarabinomannan (LAM) biosynthesis,map01100 Metabolic pathways	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K15916	K00096	pgi-pmi	glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	map00010 Glycolysis / Gluconeogenesis,map00030 Pentose phosphate pathway,map00051 Fructose and mannose metabolism,map00500 Starch and sucrose metabolism,map00520 Amino sugar and nucleotide sugar metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01250 Biosynthesis of nucleotide sugars	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K16163	K00096	K16163	maleylpyruvate isomerase [EC:5.2.1.4]	""	map00350 Tyrosine metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K16876	K00096	hmfD	2-furoate---CoA ligase [EC:6.2.1.31]	""	map00365 Furfural degradation,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K17490	K00096	E2.1.3.1-1.3S	methylmalonyl-CoA carboxyltransferase 1.3S subunit [EC:2.1.3.1]	""	map00640 Propanoate metabolism,map01100 Metabolic pathways	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K18006	K00096	hoxU	[NiFe] hydrogenase diaphorase moiety small subunit [EC:1.12.1.2]	""	""	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K18007	K00096	hoxY	NAD-reducing hydrogenase small subunit [EC:1.12.1.2]	""	""	2	0.562	0.991	0.562	0.496	3.095	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
