KO	symbol	name	module	pathways
K00499	CMO	choline monooxygenase [EC:1.14.15.7]	Betaine biosynthesis, choline => betaine	map00260 Glycine, serine and threonine metabolism,map01100 Metabolic pathways
K00500	phhA, PAH	phenylalanine-4-hydroxylase [EC:1.14.16.1]		map00360 Phenylalanine metabolism,map00400 Phenylalanine, tyrosine and tryptophan biosynthesis,map00790 Folate biosynthesis,map01100 Metabolic pathways,map01230 Biosynthesis of amino acids
K00507	SCD, desC	stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]		map01040 Biosynthesis of unsaturated fatty acids,map01100 Metabolic pathways,map01212 Fatty acid metabolism,map03320 PPAR signaling pathway,map04152 AMPK signaling pathway,map04212 Longevity regulating pathway - worm,map04936 Alcoholic liver disease
K00508	E1.14.19.3	linoleoyl-CoA desaturase [EC:1.14.19.3]		map00591 Linoleic acid metabolism,map01100 Metabolic pathways
K00520	merA	mercuric reductase [EC:1.16.1.1]		 
K00523	ascD, ddhD, rfbI	CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]		map00520 Amino sugar and nucleotide sugar metabolism,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars
K00524	nrdJ	ribonucleotide reductase, class II [EC:1.17.4.2]		map00230 Purine metabolism,map00240 Pyrimidine metabolism,map01100 Metabolic pathways,map01232 Nucleotide metabolism
K00525	E1.17.4.1A, nrdA, nrdE	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	map00230 Purine metabolism,map00240 Pyrimidine metabolism,map01100 Metabolic pathways,map01232 Nucleotide metabolism
K00526	E1.17.4.1B, nrdB, nrdF	ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	map00230 Purine metabolism,map00240 Pyrimidine metabolism,map01100 Metabolic pathways,map01232 Nucleotide metabolism
K00528	fpr	ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]		 
K00529	hcaD	3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	map00071 Fatty acid degradation,map00360 Phenylalanine metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01220 Degradation of aromatic compounds
K00533	E1.12.7.2L	ferredoxin hydrogenase large subunit [EC:1.12.7.2]		 
K00537	arsC	arsenate reductase (glutaredoxin) [EC:1.20.4.1]		 
K00544	BHMT	betaine-homocysteine S-methyltransferase [EC:2.1.1.5]		map00260 Glycine, serine and threonine metabolism,map00270 Cysteine and methionine metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00547	mmuM, BHMT2	homocysteine S-methyltransferase [EC:2.1.1.10]		map00270 Cysteine and methionine metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00548	metH, MTR	5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	Methionine biosynthesis, aspartate => homoserine => methionine	map00270 Cysteine and methionine metabolism,map00450 Selenocompound metabolism,map00670 One carbon pool by folate,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids
K00549	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	Methionine biosynthesis, aspartate => homoserine => methionine	map00270 Cysteine and methionine metabolism,map00450 Selenocompound metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids
K00554	trmD	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]		 
K00556	trmH	tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]		 
K00557	trmA	tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]		 
K00558	DNMT1, dcm	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	Methionine degradation	map00270 Cysteine and methionine metabolism,map01100 Metabolic pathways,map05206 MicroRNAs in cancer
K00560	thyA, TYMS	thymidylate synthase [EC:2.1.1.45]	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	map00240 Pyrimidine metabolism,map00670 One carbon pool by folate,map01100 Metabolic pathways,map01232 Nucleotide metabolism,map01523 Antifolate resistance
K00561	ermC, ermA	23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]		 
K00563	rlmA1	23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]		 
K00564	rsmC	16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]		 
K00566	mnmA, trmU	tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]		map04122 Sulfur relay system
K00567	ogt, MGMT	methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]		 
K00568	ubiG	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	map00130 Ubiquinone and other terpenoid-quinone biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
K00570	pmtA	phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]	Phosphatidylcholine (PC) biosynthesis, PE => PC	map00564 Glycerophospholipid metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00571	E2.1.1.72	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]		 
K00573	E2.1.1.77, pcm	protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]		 
K00574	cfa	cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]		 
K00575	cheR	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]		map02020 Two-component system,map02030 Bacterial chemotaxis
K00588	E2.1.1.104	caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	map00940 Phenylpropanoid biosynthesis,map00941 Flavonoid biosynthesis,map00945 Stilbenoid, diarylheptanoid and gingerol biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00590	E2.1.1.113	site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]		 
K00594	xyoA, aldO	alditol oxidase [EC:1.1.3.41]		map00040 Pentose and glucuronate interconversions,map00051 Fructose and mannose metabolism,map01100 Metabolic pathways
K00595	cobL-cbiET	precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase [EC:2.1.1.132 2.1.1.289 2.1.1.196]	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	map00860 Porphyrin metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K00598	tam	trans-aconitate 2-methyltransferase [EC:2.1.1.144]		 
K00600	glyA, SHMT	glycine hydroxymethyltransferase [EC:2.1.2.1]	C1-unit interconversion, prokaryotes	map00260 Glycine, serine and threonine metabolism,map00460 Cyanoamino acid metabolism,map00630 Glyoxylate and dicarboxylate metabolism,map00670 One carbon pool by folate,map00680 Methane metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids,map01240 Biosynthesis of cofactors,map01523 Antifolate resistance
K00602	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	De novo purine biosynthesis, PRPP + glutamine => IMP	map00230 Purine metabolism,map00670 One carbon pool by folate,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01523 Antifolate resistance
K00603	fctD	glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2]	Histidine degradation, histidine => N-formiminoglutamate => glutamate	map00340 Histidine metabolism,map00670 One carbon pool by folate,map01100 Metabolic pathways
K00604	MTFMT, fmt	methionyl-tRNA formyltransferase [EC:2.1.2.9]		map00670 One carbon pool by folate,map00970 Aminoacyl-tRNA biosynthesis,map01100 Metabolic pathways
K00605	gcvT, AMT	aminomethyltransferase [EC:2.1.2.10]	Photorespiration	map00260 Glycine, serine and threonine metabolism,map00630 Glyoxylate and dicarboxylate metabolism,map00670 One carbon pool by folate,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01200 Carbon metabolism
K00606	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	map00770 Pantothenate and CoA biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
K00608	pyrBI	aspartate carbamoyltransferase [EC:2.1.3.2]	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	map00240 Pyrimidine metabolism,map00250 Alanine, aspartate and glutamate metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K00609	pyrB, PYR2	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	map00240 Pyrimidine metabolism,map00250 Alanine, aspartate and glutamate metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K00610	pyrI	aspartate carbamoyltransferase regulatory subunit	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	map00240 Pyrimidine metabolism,map00250 Alanine, aspartate and glutamate metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K00611	OTC, argF, argI	ornithine carbamoyltransferase [EC:2.1.3.3]	Urea cycle	map00220 Arginine biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids
K00612	nodU	carbamoyltransferase [EC:2.1.3.-]		 
K00613	GATM	glycine amidinotransferase [EC:2.1.4.1]	Creatine pathway	map00260 Glycine, serine and threonine metabolism,map00330 Arginine and proline metabolism,map01100 Metabolic pathways
K00615	E2.2.1.1, tktA, tktB	transketolase [EC:2.2.1.1]	Pentose phosphate pathway (Pentose phosphate cycle)	map00030 Pentose phosphate pathway,map00710 Carbon fixation in photosynthetic organisms,map01051 Biosynthesis of ansamycins,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids
K00616	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	Pentose phosphate pathway (Pentose phosphate cycle)	map00030 Pentose phosphate pathway,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids
K00619	argA	amino-acid N-acetyltransferase [EC:2.3.1.1]	Ornithine biosynthesis, glutamate => ornithine	map00220 Arginine biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids
K00620	argJ	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	Ornithine biosynthesis, glutamate => ornithine	map00220 Arginine biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids
K00622	nat	arylamine N-acetyltransferase [EC:2.3.1.5]		map00232 Caffeine metabolism,map00633 Nitrotoluene degradation,map00983 Drug metabolism - other enzymes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map05204 Chemical carcinogenesis - DNA adducts
K00625	E2.3.1.8, pta	phosphate acetyltransferase [EC:2.3.1.8]	Methanogenesis, acetate => methane	map00430 Taurine and hypotaurine metabolism,map00620 Pyruvate metabolism,map00640 Propanoate metabolism,map00680 Methane metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00626	ACAT, atoB	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	map00071 Fatty acid degradation,map00280 Valine, leucine and isoleucine degradation,map00310 Lysine degradation,map00362 Benzoate degradation,map00380 Tryptophan metabolism,map00620 Pyruvate metabolism,map00630 Glyoxylate and dicarboxylate metabolism,map00650 Butanoate metabolism,map00720 Carbon fixation pathways in prokaryotes,map00900 Terpenoid backbone biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01212 Fatty acid metabolism,map02020 Two-component system,map04975 Fat digestion and absorption
K00627	DLAT, aceF, pdhC	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]	Pyruvate oxidation, pyruvate => acetyl-CoA	map00010 Glycolysis / Gluconeogenesis,map00020 Citrate cycle (TCA cycle),map00620 Pyruvate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00631	plsB	glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]		map00561 Glycerolipid metabolism,map00564 Glycerophospholipid metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00632	fadA, fadI	acetyl-CoA acyltransferase [EC:2.3.1.16]	beta-Oxidation	map00071 Fatty acid degradation,map00280 Valine, leucine and isoleucine degradation,map00281 Geraniol degradation,map00362 Benzoate degradation,map00592 alpha-Linolenic acid metabolism,map00642 Ethylbenzene degradation,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01212 Fatty acid metabolism
K00633	lacA	galactoside O-acetyltransferase [EC:2.3.1.18]		 
K00634	ptb	phosphate butyryltransferase [EC:2.3.1.19]		map00650 Butanoate metabolism,map01100 Metabolic pathways
K00638	catB	chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]		 
K00639	kbl, GCAT	glycine C-acetyltransferase [EC:2.3.1.29]		map00260 Glycine, serine and threonine metabolism,map01100 Metabolic pathways
K00640	cysE	serine O-acetyltransferase [EC:2.3.1.30]	Cysteine biosynthesis, serine => cysteine	map00270 Cysteine and methionine metabolism,map00920 Sulfur metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids,map05111 Biofilm formation - Vibrio cholerae
K00641	metX	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	Methionine biosynthesis, aspartate => homoserine => methionine	map00270 Cysteine and methionine metabolism,map00920 Sulfur metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids
K00643	E2.3.1.37, ALAS	5-aminolevulinate synthase [EC:2.3.1.37]	Heme biosynthesis, animals and fungi, glycine => heme	map00260 Glycine, serine and threonine metabolism,map00860 Porphyrin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
K00645	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	Fatty acid biosynthesis, initiation	map00061 Fatty acid biosynthesis,map00333 Prodigiosin biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01212 Fatty acid metabolism
K00647	fabB	3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	Fatty acid biosynthesis, elongation	map00061 Fatty acid biosynthesis,map00780 Biotin metabolism,map01100 Metabolic pathways,map01212 Fatty acid metabolism,map01240 Biosynthesis of cofactors
K00648	fabH	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	Fatty acid biosynthesis, initiation	map00061 Fatty acid biosynthesis,map01100 Metabolic pathways,map01212 Fatty acid metabolism
K00651	metA	homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]	Methionine biosynthesis, aspartate => homoserine => methionine	map00270 Cysteine and methionine metabolism,map00920 Sulfur metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids
K00652	bioF	8-amino-7-oxononanoate synthase [EC:2.3.1.47]	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	map00780 Biotin metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K00655	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	Triacylglycerol biosynthesis	map00561 Glycerolipid metabolism,map00564 Glycerophospholipid metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00656	E2.3.1.54, pflD	formate C-acetyltransferase [EC:2.3.1.54]		map00620 Pyruvate metabolism,map00640 Propanoate metabolism,map00650 Butanoate metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments
K00657	speG, SAT	diamine N-acetyltransferase [EC:2.3.1.57]	GABA biosynthesis, eukaryotes, putrescine => GABA	map00330 Arginine and proline metabolism,map01100 Metabolic pathways,map04216 Ferroptosis
K00658	DLST, sucB	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00310 Lysine degradation,map00380 Tryptophan metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00661	maa	maltose O-acetyltransferase [EC:2.3.1.79]		 
K00662	aacC	aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]		 
K00666	K00666	fatty-acyl-CoA synthase [EC:6.2.1.-]		 
K00674	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	map00300 Lysine biosynthesis,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01230 Biosynthesis of amino acids
K00675	nhoA	N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]		 
K00677	lpxA	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	map00540 Lipopolysaccharide biosynthesis,map01100 Metabolic pathways,map01503 Cationic antimicrobial peptide (CAMP) resistance
K00680	ytmI	uncharacterized N-acetyltransferase [EC:2.3.1.-]		 
K00681	ggt	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]		map00430 Taurine and hypotaurine metabolism,map00460 Cyanoamino acid metabolism,map00480 Glutathione metabolism,map01100 Metabolic pathways
K00684	aat	leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]		 
K00686	tgl	protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13]		 
K00687	pbp2B, penA	penicillin-binding protein 2B		map00550 Peptidoglycan biosynthesis,map01100 Metabolic pathways,map01501 beta-Lactam resistance
K00688	PYG, glgP	glycogen phosphorylase [EC:2.4.1.1]	Glycogen degradation, glycogen => glucose-6P	map00500 Starch and sucrose metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map02026 Biofilm formation - Escherichia coli,map04217 Necroptosis,map04910 Insulin signaling pathway,map04922 Glucagon signaling pathway,map04931 Insulin resistance
K00689	E2.4.1.5	dextransucrase [EC:2.4.1.5]		map00500 Starch and sucrose metabolism,map01100 Metabolic pathways,map02020 Two-component system
K00690	E2.4.1.7	sucrose phosphorylase [EC:2.4.1.7]		map00500 Starch and sucrose metabolism,map01100 Metabolic pathways
K00691	mapA	maltose phosphorylase [EC:2.4.1.8]		map00500 Starch and sucrose metabolism,map01100 Metabolic pathways
K00692	sacB	levansucrase [EC:2.4.1.10]		map00500 Starch and sucrose metabolism,map01100 Metabolic pathways,map02020 Two-component system
K00694	bcsA	cellulose synthase (UDP-forming) [EC:2.4.1.12]		map00500 Starch and sucrose metabolism,map01100 Metabolic pathways,map02026 Biofilm formation - Escherichia coli
K00696	E2.4.1.14	sucrose-phosphate synthase [EC:2.4.1.14]		map00500 Starch and sucrose metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00697	otsA	trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]		map00500 Starch and sucrose metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00700	GBE1, glgB	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	Trehalose biosynthesis, D-glucose 1P => trehalose	map00500 Starch and sucrose metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00703	glgA	starch synthase [EC:2.4.1.21]	Trehalose biosynthesis, D-glucose 1P => trehalose	map00500 Starch and sucrose metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map02026 Biofilm formation - Escherichia coli
K00705	malQ	4-alpha-glucanotransferase [EC:2.4.1.25]	Glycogen degradation, glycogen => glucose-6P	map00500 Starch and sucrose metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00712	tagE	poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]		map00552 Teichoic acid biosynthesis
K00713	waaD	UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.-]		map00540 Lipopolysaccharide biosynthesis
K00720	UGCG	ceramide glucosyltransferase [EC:2.4.1.80]	Lactosylceramide biosynthesis	map00600 Sphingolipid metabolism,map01100 Metabolic pathways
K00721	DPM1	dolichol-phosphate mannosyltransferase [EC:2.4.1.83]		map00510 N-Glycan biosynthesis,map01100 Metabolic pathways
K00728	POMT, pmt	dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]	O-glycan biosynthesis, mannose type (core M3)	map00514 Other types of O-glycan biosynthesis,map00515 Mannose type O-glycan biosynthesis,map01100 Metabolic pathways
K00748	lpxB	lipid-A-disaccharide synthase [EC:2.4.1.182]	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	map00540 Lipopolysaccharide biosynthesis,map01100 Metabolic pathways
K00752	hasA	hyaluronan synthase [EC:2.4.1.212]		 
K00754	bshA	L-malate glycosyltransferase [EC:2.4.1.-]		 
K00756	pdp	pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]		map00240 Pyrimidine metabolism,map01100 Metabolic pathways,map01232 Nucleotide metabolism
K00757	udp, UPP	uridine phosphorylase [EC:2.4.2.3]		map00240 Pyrimidine metabolism,map00983 Drug metabolism - other enzymes,map01100 Metabolic pathways,map01232 Nucleotide metabolism
K00758	deoA, TYMP	thymidine phosphorylase [EC:2.4.2.4]		map00240 Pyrimidine metabolism,map00983 Drug metabolism - other enzymes,map01100 Metabolic pathways,map01232 Nucleotide metabolism,map05219 Bladder cancer
K00759	APRT, apt	adenine phosphoribosyltransferase [EC:2.4.2.7]		map00230 Purine metabolism,map01100 Metabolic pathways,map01232 Nucleotide metabolism
K00760	hprT, hpt, HPRT1	hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]		map00230 Purine metabolism,map00983 Drug metabolism - other enzymes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01232 Nucleotide metabolism
K00761	upp, UPRT	uracil phosphoribosyltransferase [EC:2.4.2.9]		map00240 Pyrimidine metabolism,map01100 Metabolic pathways,map01232 Nucleotide metabolism
K00762	pyrE	orotate phosphoribosyltransferase [EC:2.4.2.10]	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	map00240 Pyrimidine metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K00763	pncB, NAPRT1	nicotinate phosphoribosyltransferase [EC:6.3.4.21]		map00760 Nicotinate and nicotinamide metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K00764	purF, PPAT	amidophosphoribosyltransferase [EC:2.4.2.14]	De novo purine biosynthesis, PRPP + glutamine => IMP	map00230 Purine metabolism,map00250 Alanine, aspartate and glutamate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00765	hisG	ATP phosphoribosyltransferase [EC:2.4.2.17]	Histidine biosynthesis, PRPP => histidine	map00340 Histidine metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids
K00766	trpD	anthranilate phosphoribosyltransferase [EC:2.4.2.18]	Tryptophan biosynthesis, chorismate => tryptophan	map00400 Phenylalanine, tyrosine and tryptophan biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids
K00767	nadC, QPRT	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	NAD biosynthesis, aspartate => quinolinate => NAD	map00760 Nicotinate and nicotinamide metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K00768	E2.4.2.21, cobU, cobT	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	map00860 Porphyrin metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K00769	gpt	xanthine phosphoribosyltransferase [EC:2.4.2.22]		map00230 Purine metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01232 Nucleotide metabolism
K00772	mtaP, MTAP	5'-methylthioadenosine phosphorylase [EC:2.4.2.28]	Methionine salvage pathway	map00270 Cysteine and methionine metabolism,map01100 Metabolic pathways
K00773	tgt	queuine tRNA-ribosyltransferase [EC:2.4.2.29]		 
K00782	lldG	L-lactate dehydrogenase complex protein LldG		 
K00783	rlmH	23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]		 
K00784	rnz	ribonuclease Z [EC:3.1.26.11]		 
K00785	lst	N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.3.6]		 
K00786	GALT29A	beta-1,6-galactosyltransferase [EC:2.4.1.-]		 
K00788	thiE	thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	map00730 Thiamine metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K00789	metK, MAT	S-adenosylmethionine synthetase [EC:2.5.1.6]	Methionine salvage pathway	map00270 Cysteine and methionine metabolism,map00999 Biosynthesis of various plant secondary metabolites,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids,map01240 Biosynthesis of cofactors
K00790	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]		map00520 Amino sugar and nucleotide sugar metabolism,map00550 Peptidoglycan biosynthesis,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars
K00791	miaA, TRIT1	tRNA dimethylallyltransferase [EC:2.5.1.75]		map00908 Zeatin biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00793	ribE, RIB5	riboflavin synthase [EC:2.5.1.9]	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	map00740 Riboflavin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
